code,level,classificationName,
14230,5,"Tillverkning av arbets-, skydds- och överdragskläder",
1424,4,Tillverkning av läder- och skinnkläder samt pälsvaror,
14240,5,Tillverkning av läder- och skinnkläder samt pälsvaror,
1429,4,Tillverkning av diverse övriga beklädnadsvaror och tillbehör,
14290,5,Tillverkning av diverse övriga beklädnadsvaror och tillbehör,
15,2,Tillverkning av läder- och skinnvaror och liknande varor av andra material,
151,3,"Garvning och annan beredning av läder-, skinn och pälsvaror; tillverkning av reseffekter, handväskor, sadel- och seldon",
1511,4,"Garvning och annan beredning av läder-, skinn- och pälsvaror",
15110,5,"Garvning och annan beredning av läder-, skinn- och pälsvaror",
1512,4,"Tillverkning av reseffekter, handväskor, sadel- och seldon oavsett material",
15120,5,"Tillverkning av reseffekter, handväskor, sadel- och seldon oavsett material",
152,3,Tillverkning av skodon,
1520,4,Tillverkning av skodon,
15200,5,Tillverkning av skodon,
16,2,"Tillverkning av trä och varor av trä och kork, utom möbler: tillverkning av varor av halm, rotting o.d.",
161,3,Sågning och hyvling av trä; bearbetning och slutbehandling av trä,
1611,4,Sågning och hyvling av trä,
16110,5,Sågning och hyvling av trä,
1612,4,Bearbetning och slutbehandling av trä,
16120,5,Bearbetning och slutbehandling av trä,
162,3,"Tillverkning av varor av trä, kork, halm, rotting o.d.",
1621,4,Tillverkning av fanér och träbaserade skivor,
16210,5,Tillverkning av fanér och träbaserade skivor,
1622,4,Tillverkning av sammansatta parkettgolv,
16220,5,Tillverkning av sammansatta parkettgolv,
1623,4,Tillverkning av andra byggnads- och inredningssnickerier,
16231,5,Tillverkning av trähus,
16239,5,Övrig tillverkning av byggnads- och inredningssnickerier som inte klassificerats på annat håll,
1624,4,Träförpackningstillverkning,
16240,5,Träförpackningstillverkning,
1625,4,Tillverkning av dörrar och fönster av trä,
16250,5,Tillverkning av dörrar och fönster av trä,
1626,4,Tillverkning av fasta bränslen av vegetabilisk biomassa,
16260,5,Tillverkning av fasta bränslen av vegetabilisk biomassa,
1627,4,Slutbehandling av varor av trä,
16270,5,Slutbehandling av varor av trä,
1628,4,"Tillverkning av andra varor av trä och varor av kork, halm, rotting o.d.",
16280,5,"Tillverkning av andra varor av trä och varor av kork, halm, rotting o.d.",
17,2,Pappers- och pappersvarutillverkning,
171,3,"Massa-, pappers- och papptillverkning",
1711,4,Massatillverkning,
17110,5,Massatillverkning,
1712,4,Pappers- och papptillverkning,
17120,5,Pappers- och papptillverkning,
172,3,Tillverkning av pappers- och pappvaror,
1721,4,Tillverkning av wellpapp och pappers- och pappförpackningar,
17210,5,Tillverkning av wellpapp och pappers- och pappförpackningar,
1722,4,Tillverkning av hushålls- och hygienartiklar av papper,
17220,5,Tillverkning av hushålls- och hygienartiklar av papper,
1723,4,"Tillverkning av skrivpapper, kuvert o.d.",
17230,5,"Tillverkning av skrivpapper, kuvert o.d.",
1724,4,Tapettillverkning,
17240,5,Tapettillverkning,
1725,4,Tillverkning av andra pappers- och pappvaror,
17250,5,Tillverkning av andra pappers- och pappvaror,
18,2,Grafisk produktion och reproduktion av inspelningar,
181,3,Grafisk produktion,
1811,4,Tryckning av dagstidningar,
18110,5,Tryckning av dagstidningar,
1812,4,Annan tryckning,
18120,5,Annan tryckning,
1813,4,Grafiska tjänster före tryckning (prepress/premedia),
18130,5,Grafiska tjänster före tryckning (prepress/premedia),
1814,4,Bokbindning och annan verksamhet avseende tryckning,
18140,5,Bokbindning och annan verksamhet avseende tryckning,
182,3,Reproduktion av inspelningar,
1820,4,Reproduktion av inspelningar,
18200,5,Reproduktion av inspelningar,
19,2,Tillverkning av stenkolsprodukter och raffinerade petroleumprodukter,
191,3,Tillverkning av stenkolsprodukter,
1910,4,Tillverkning av stenkolsprodukter,
19100,5,Tillverkning av stenkolsprodukter,
192,3,Tillverkning av raffinerade petroleumprodukter och fossila bränsleprodukter,
1920,4,Tillverkning av raffinerade petroleumprodukter och fossila bränsleprodukter,
19200,5,Tillverkning av raffinerade petroleumprodukter och fossila bränsleprodukter,
20,2,Tillverkning av kemikalier och kemiska produkter,
201,3,"Tillverkning av baskemikalier, gödselmedel och kväveprodukter, plaster och syntetgummi i obearbetad form",
2011,4,Industrigasframställning,
20110,5,Industrigasframställning,
2012,4,Tillverkning av färgämnen,
20120,5,Tillverkning av färgämnen,
2013,4,Tillverkning av andra oorganiska baskemikalier,
20130,5,Tillverkning av andra oorganiska baskemikalier,
2014,4,Tillverkning av andra organiska baskemikalier,
20140,5,Tillverkning av andra organiska baskemikalier,
2015,4,Tillverkning av gödselmedel och kväveprodukter,
20150,5,Tillverkning av gödselmedel och kväveprodukter,
2016,4,Basplastframställning,
20160,5,Basplastframställning,
2017,4,Tillverkning av syntetiskt basgummi,
20170,5,Tillverkning av syntetiskt basgummi,
202,3,"Tillverkning av bekämpningsmedel, desinfektionsmedel och andra lantbrukskemiska produkter",
2020,4,"Tillverkning av bekämpningsmedel, desinfektionsmedel och andra lantbrukskemiska produkter",
