code;level;classificationName;
"'10850'";5;"Manufacture of prepared meals and dishes";
"'1086'";4;"Manufacture of homogenised food preparations and dietetic food";
"'10860'";5;"Manufacture of homogenised food preparations and dietetic food";
"'1089'";4;"Manufacture of other food products n.e.c.";
"'10890'";5;"Manufacture of other food products n.e.c.";
"'109'";3;"Manufacture of prepared animal feeds";
"'1091'";4;"Manufacture of prepared feeds for farm animals";
"'10910'";5;"Manufacture of prepared feeds for farm animals";
"'1092'";4;"Manufacture of prepared pet foods";
"'10920'";5;"Manufacture of prepared pet foods";
"'11'";2;"Manufacture of beverages";
"'110'";3;"Manufacture of beverages";
"'1101'";4;"Distilling, rectifying and blending of spirits";
"'11010'";5;"Distilling, rectifying and blending of spirits";
"'1102'";4;"Manufacture of wine from grape";
"'11020'";5;"Manufacture of wine from grape";
"'1103'";4;"Manufacture of cider and other fermented fruit beverages";
"'11030'";5;"Manufacture of cider and other fermented fruit beverages";
"'1104'";4;"Manufacture of other non-distilled fermented beverages";
"'11040'";5;"Manufacture of other non-distilled fermented beverages";
"'1105'";4;"Manufacture of beer";
"'11050'";5;"Manufacture of beer";
"'1106'";4;"Manufacture of malt";
"'11060'";5;"Manufacture of malt";
"'1107'";4;"Manufacture of soft drinks and bottled waters";
"'11070'";5;"Manufacture of soft drinks and bottled waters";
"'12'";2;"Manufacture of tobacco products";
"'120'";3;"Manufacture of tobacco products";
"'1200'";4;"Manufacture of tobacco products";
"'12000'";5;"Manufacture of tobacco products";
"'13'";2;"Manufacture of textiles";
"'131'";3;"Preparation and spinning of textile fibres";
"'1310'";4;"Preparation and spinning of textile fibres";
"'13100'";5;"Preparation and spinning of textile fibres";
"'132'";3;"Weaving of textiles";
"'1320'";4;"Weaving of textiles";
"'13200'";5;"Weaving of textiles";
"'133'";3;"Finishing of textiles";
"'1330'";4;"Finishing of textiles";
"'13300'";5;"Finishing of textiles";
"'139'";3;"Manufacture of other textiles";
"'1391'";4;"Manufacture of knitted and crocheted fabrics";
"'13910'";5;"Manufacture of knitted and crocheted fabrics";
"'1392'";4;"Manufacture of household textiles and made-up furnishing articles";
"'13920'";5;"Manufacture of household textiles and made-up furnishing articles";
"'1393'";4;"Manufacture of carpets and rugs";
"'13930'";5;"Manufacture of carpets and rugs";
"'1394'";4;"Manufacture of cordage, rope, twine and netting";
"'13940'";5;"Manufacture of cordage, rope, twine and netting";
"'1395'";4;"Manufacture of non-wovens and non-woven articles";
"'13950'";5;"Manufacture of non-wovens and non-woven articles";
"'1396'";4;"Manufacture of other technical and industrial textiles";
"'13960'";5;"Manufacture of other technical and industrial textiles";
"'1399'";4;"Manufacture of other textiles n.e.c.";
"'13990'";5;"Manufacture of other textiles n.e.c.";
"'14'";2;"Manufacture of wearing apparel";
"'141'";3;"Manufacture of knitted and crocheted apparel";
"'1410'";4;"Manufacture of knitted and crocheted apparel";
"'14100'";5;"Manufacture of knitted and crocheted apparel";
"'142'";3;"Manufacture of other wearing apparel and accessories";
"'1421'";4;"Manufacture of outerwear";
"'14210'";5;"Manufacture of outerwear";
"'1422'";4;"Manufacture of underwear";
"'14220'";5;"Manufacture of underwear";
"'1423'";4;"Manufacture of workwear";
"'14230'";5;"Manufacture of workwear";
"'1424'";4;"Manufacture of leather clothes and fur apparel";
"'14240'";5;"Manufacture of leather clothes and fur apparel";
"'1429'";4;"Manufacture of other wearing apparel and accessories n.e.c.";
"'14290'";5;"Manufacture of other wearing apparel and accessories n.e.c.";
"'15'";2;"Manufacture of leather and related products of other materials";
"'151'";3;"Tanning, dyeing, dressing of leather and fur; manufacture of luggage, handbags, saddlery and harness";
"'1511'";4;"Tanning, dressing, dyeing of leather and fur";
"'15110'";5;"Tanning, dressing, dyeing of leather and fur";
"'1512'";4;"Manufacture of luggage, handbags, saddlery and harness of any material";
"'15120'";5;"Manufacture of luggage, handbags, saddlery and harness of any material";
"'152'";3;"Manufacture of footwear";
"'1520'";4;"Manufacture of footwear";
"'15200'";5;"Manufacture of footwear";
"'16'";2;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";
"'161'";3;"Sawmilling and planing of wood; processing and finishing of wood";
"'1611'";4;"Sawmilling and planing of wood";
"'16110'";5;"Sawmilling and planing of wood";
"'1612'";4;"Processing and finishing of wood";
"'16120'";5;"Processing and finishing of wood";
"'162'";3;"Manufacture of products of wood, cork, straw and plaiting materials";
"'1621'";4;"Manufacture of veneer sheets and wood-based panels";
"'16210'";5;"Manufacture of veneer sheets and wood-based panels";
"'1622'";4;"Manufacture of assembled parquet floors";
"'16220'";5;"Manufacture of assembled parquet floors";
"'1623'";4;"Manufacture of other builders’ carpentry and joinery";
"'16231'";5;"Manufacture of prefabricated wooden buildings";
"'16239'";5;"Manufacture of other builders’ carpentry and joinery n.e.c.";
"'1624'";4;"Manufacture of wooden containers";
"'16240'";5;"Manufacture of wooden containers";
"'1625'";4;"Manufacture of doors and windows of wood";
"'16250'";5;"Manufacture of doors and windows of wood";
"'1626'";4;"Manufacture of solid fuels from vegetable biomass";
"'16260'";5;"Manufacture of solid fuels from vegetable biomass";
"'1627'";4;"Finishing of wooden products";
"'16270'";5;"Finishing of wooden products";
"'1628'";4;"Manufacture of other products of wood and articles of cork, straw and plaiting materials";
"'16280'";5;"Manufacture of other products of wood and articles of cork, straw and plaiting materials";
"'17'";2;"Manufacture of paper and paper products";
"'171'";3;"Manufacture of pulp, paper and paperboard";
"'1711'";4;"Manufacture of pulp";
"'17110'";5;"Manufacture of pulp";
"'1712'";4;"Manufacture of paper and paperboard";
"'17120'";5;"Manufacture of paper and paperboard";
"'172'";3;"Manufacture of articles of paper and paperboard";
"'1721'";4;"Manufacture of corrugated paper, paperboard and containers of paper and paperboard";
"'17210'";5;"Manufacture of corrugated paper, paperboard and containers of paper and paperboard";
"'1722'";4;"Manufacture of household and sanitary goods and of toilet requisites";
"'17220'";5;"Manufacture of household and sanitary goods and of toilet requisites";
"'1723'";4;"Manufacture of paper stationery";
"'17230'";5;"Manufacture of paper stationery";
"'1724'";4;"Manufacture of wallpaper";
"'17240'";5;"Manufacture of wallpaper";
"'1725'";4;"Manufacture of other articles of paper and paperboard";
"'17250'";5;"Manufacture of other articles of paper and paperboard";
"'18'";2;"Printing and reproduction of recorded media";
"'181'";3;"Printing and service activities related to printing";
"'1811'";4;"Printing of newspapers";
"'18110'";5;"Printing of newspapers";
"'1812'";4;"Other printing";
"'18120'";5;"Other printing";
"'1813'";4;"Pre-press and pre-media services";
"'18130'";5;"Pre-press and pre-media services";
"'1814'";4;"Binding and related services";
"'18140'";5;"Binding and related services";
"'182'";3;"Reproduction of recorded media";
"'1820'";4;"Reproduction of recorded media";
"'18200'";5;"Reproduction of recorded media";
"'19'";2;"Manufacture of coke and refined petroleum products";
"'191'";3;"Manufacture of coke oven products";
"'1910'";4;"Manufacture of coke oven products";
"'19100'";5;"Manufacture of coke oven products";
"'192'";3;"Manufacture of refined petroleum products and fossil fuel products";
"'1920'";4;"Manufacture of refined petroleum products and fossil fuel products";
"'19200'";5;"Manufacture of refined petroleum products and fossil fuel products";
"'20'";2;"Manufacture of chemicals and chemical products";
"'201'";3;"Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms";
"'2011'";4;"Manufacture of industrial gases";
"'20110'";5;"Manufacture of industrial gases";
"'2012'";4;"Manufacture of dyes and pigments";
"'20120'";5;"Manufacture of dyes and pigments";
"'2013'";4;"Manufacture of other inorganic basic chemicals";
"'20130'";5;"Manufacture of other inorganic basic chemicals";
"'2014'";4;"Manufacture of other organic basic chemicals";
"'20140'";5;"Manufacture of other organic basic chemicals";
"'2015'";4;"Manufacture of fertilisers and nitrogen compounds";
"'20150'";5;"Manufacture of fertilisers and nitrogen compounds";
"'2016'";4;"Manufacture of plastics in primary forms";
"'20160'";5;"Manufacture of plastics in primary forms";
"'2017'";4;"Manufacture of synthetic rubber in primary forms";
"'20170'";5;"Manufacture of synthetic rubber in primary forms";
"'202'";3;"Manufacture of pesticides, disinfectants and other agrochemical products";
"'2020'";4;"Manufacture of pesticides, disinfectants and other agrochemical products";
"'20200'";5;"Manufacture of pesticides, disinfectants and other agrochemical products";
"'203'";3;"Manufacture of paints, varnishes and similar coatings, printing ink and mastics";
"'2030'";4;"Manufacture of paints, varnishes and similar coatings, printing ink and mastics";
"'20300'";5;"Manufacture of paints, varnishes and similar coatings, printing ink and mastics";
"'204'";3;"Manufacture of washing, cleaning and polishing preparations";
"'2041'";4;"Manufacture of soap and detergents, cleaning and polishing preparations";
"'20410'";5;"Manufacture of soap and detergents, cleaning and polishing preparations";
"'2042'";4;"Manufacture of perfume and toilet preparations";
"'20420'";5;"Manufacture of perfume and toilet preparations";
"'205'";3;"Manufacture of other chemical products";
"'2051'";4;"Manufacture of liquid biofuels";
"'20510'";5;"Manufacture of liquid biofuels";
"'2059'";4;"Manufacture of other chemical products n.e.c.";
"'20590'";5;"Manufacture of other chemical products n.e.c.";
"'206'";3;"Manufacture of man-made fibres";
"'2060'";4;"Manufacture of man-made fibres";
"'20600'";5;"Manufacture of man-made fibres";
"'21'";2;"Manufacture of basic pharmaceutical products and pharmaceutical preparations";
"'211'";3;"Manufacture of basic pharmaceutical products";
"'2110'";4;"Manufacture of basic pharmaceutical products";
"'21100'";5;"Manufacture of basic pharmaceutical products";
"'212'";3;"Manufacture of pharmaceutical preparations";
"'2120'";4;"Manufacture of pharmaceutical preparations";
"'21200'";5;"Manufacture of pharmaceutical preparations";
"'22'";2;"Manufacture of rubber and plastic products";
"'221'";3;"Manufacture of rubber products";
"'2211'";4;"Manufacture, retreading and rebuilding of rubber tyres and manufacture of tubes";
"'22110'";5;"Manufacture, retreading and rebuilding of rubber tyres and manufacture of tubes";
"'2212'";4;"Manufacture of other rubber products";
"'22120'";5;"Manufacture of other rubber products";
"'222'";3;"Manufacture of plastic products";
"'2221'";4;"Manufacture of plastic plates, sheets, tubes and profiles";
"'22210'";5;"Manufacture of plastic plates, sheets, tubes and profiles";
"'2222'";4;"Manufacture of plastic packing goods";
"'22220'";5;"Manufacture of plastic packing goods";
"'2223'";4;"Manufacture of doors and windows of plastic";
"'22230'";5;"Manufacture of doors and windows of plastic";
"'2224'";4;"Manufacture of builders’ ware of plastic";
"'22240'";5;"Manufacture of builders’ ware of plastic";
"'2225'";4;"Processing and finishing of plastic products";
"'22250'";5;"Processing and finishing of plastic products";
"'2226'";4;"Manufacture of other plastic products";
"'22260'";5;"Manufacture of other plastic products";
"'23'";2;"Manufacture of other non-metallic mineral products";
"'231'";3;"Manufacture of glass and glass products";
"'2311'";4;"Manufacture of flat glass";
"'23110'";5;"Manufacture of flat glass";
"'2312'";4;"Shaping and processing of flat glass";
"'23120'";5;"Shaping and processing of flat glass";
"'2313'";4;"Manufacture of hollow glass";
"'23130'";5;"Manufacture of hollow glass";
"'2314'";4;"Manufacture of glass fibres";
"'23140'";5;"Manufacture of glass fibres";
"'2315'";4;"Manufacture and processing of other glass, including technical glassware";
"'23150'";5;"Manufacture and processing of other glass, including technical glassware";
"'232'";3;"Manufacture of refractory products";
"'2320'";4;"Manufacture of refractory products";
"'23200'";5;"Manufacture of refractory products";
"'233'";3;"Manufacture of clay building materials";
"'2331'";4;"Manufacture of ceramic tiles and flags";
"'23310'";5;"Manufacture of ceramic tiles and flags";
"'2332'";4;"Manufacture of bricks, tiles and construction products, in baked clay";
"'23320'";5;"Manufacture of bricks, tiles and construction products, in baked clay";
"'234'";3;"Manufacture of other porcelain and ceramic products";
"'2341'";4;"Manufacture of ceramic household and ornamental articles";
"'23410'";5;"Manufacture of ceramic household and ornamental articles";
"'2342'";4;"Manufacture of ceramic sanitary fixtures";
"'23420'";5;"Manufacture of ceramic sanitary fixtures";
"'2343'";4;"Manufacture of ceramic insulators and insulating fittings";
"'23430'";5;"Manufacture of ceramic insulators and insulating fittings";
"'2344'";4;"Manufacture of other technical ceramic products";
"'23440'";5;"Manufacture of other technical ceramic products";
"'2345'";4;"Manufacture of other ceramic products";
"'23450'";5;"Manufacture of other ceramic products";
"'235'";3;"Manufacture of cement, lime and plaster";
"'2351'";4;"Manufacture of cement";
"'23510'";5;"Manufacture of cement";
"'2352'";4;"Manufacture of lime and plaster";
"'23520'";5;"Manufacture of lime and plaster";
"'236'";3;"Manufacture of articles of concrete, cement and plaster";
"'2361'";4;"Manufacture of concrete products for construction purposes";
"'23610'";5;"Manufacture of concrete products for construction purposes";
"'2362'";4;"Manufacture of plaster products for construction purposes";
"'23620'";5;"Manufacture of plaster products for construction purposes";
"'2363'";4;"Manufacture of ready-mixed concrete";
"'23630'";5;"Manufacture of ready-mixed concrete";
"'2364'";4;"Manufacture of mortars";
"'23640'";5;"Manufacture of mortars";
"'2365'";4;"Manufacture of fibre cement";
"'23650'";5;"Manufacture of fibre cement";
"'2366'";4;"Manufacture of other articles of concrete, cement and plaster";
"'23660'";5;"Manufacture of other articles of concrete, cement and plaster";
"'237'";3;"Cutting, shaping and finishing of stone";
"'2370'";4;"Cutting, shaping and finishing of stone";
"'23700'";5;"Cutting, shaping and finishing of stone";
"'239'";3;"Manufacture of abrasive products and non-metallic mineral products n.e.c.";
"'2391'";4;"Manufacture of abrasive products";
"'23910'";5;"Manufacture of abrasive products";
"'2399'";4;"Manufacture of other non-metallic mineral products n.e.c.";
"'23990'";5;"Manufacture of other non-metallic mineral products n.e.c.";
"'24'";2;"Manufacture of basic metals";
"'241'";3;"Manufacture of basic iron and steel and of ferro-alloys";
"'2410'";4;"Manufacture of basic iron and steel and of ferro-alloys";
"'24100'";5;"Manufacture of basic iron and steel and of ferro-alloys";
"'242'";3;"Manufacture of tubes, pipes, hollow profiles and related fittings, of steel";
"'2420'";4;"Manufacture of tubes, pipes, hollow profiles and related fittings, of steel";
"'24200'";5;"Manufacture of tubes, pipes, hollow profiles and related fittings, of steel";
"'243'";3;"Manufacture of other products of first processing of steel";
"'2431'";4;"Cold drawing of bars";
"'24310'";5;"Cold drawing of bars";
"'2432'";4;"Cold rolling of narrow strip";
"'24320'";5;"Cold rolling of narrow strip";
"'2433'";4;"Cold forming or folding";
"'24330'";5;"Cold forming or folding";
"'2434'";4;"Cold drawing of wire";
"'24340'";5;"Cold drawing of wire";
"'244'";3;"Manufacture of basic precious and other non-ferrous metals";
"'2441'";4;"Precious metals production";
"'24410'";5;"Precious metals production";
"'2442'";4;"Aluminium production";
"'24420'";5;"Aluminium production";
"'2443'";4;"Lead, zinc and tin production";
"'24430'";5;"Lead, zinc and tin production";
"'2444'";4;"Copper production";
"'24440'";5;"Copper production";
"'2445'";4;"Other non-ferrous metal production";
"'24450'";5;"Other non-ferrous metal production";
"'2446'";4;"Processing of nuclear fuel";
"'24460'";5;"Processing of nuclear fuel";
"'245'";3;"Casting of metals";
"'2451'";4;"Casting of iron";
"'24510'";5;"Casting of iron";
"'2452'";4;"Casting of steel";
"'24520'";5;"Casting of steel";
"'2453'";4;"Casting of light metals";
"'24530'";5;"Casting of light metals";
"'2454'";4;"Casting of other non-ferrous metals";
"'24540'";5;"Casting of other non-ferrous metals";
"'25'";2;"Manufacture of fabricated metal products, except machinery and equipment";
"'251'";3;"Manufacture of structural metal products";
"'2511'";4;"Manufacture of metal structures and parts of structures";
"'25110'";5;"Manufacture of metal structures and parts of structures";
"'2512'";4;"Manufacture of doors and windows of metal";
"'25120'";5;"Manufacture of doors and windows of metal";
"'252'";3;"Manufacture of tanks, reservoirs and containers of metal";
"'2521'";4;"Manufacture of central heating radiators, steam generators and boilers";
"'25210'";5;"Manufacture of central heating radiators, steam generators and boilers";
"'2522'";4;"Manufacture of other tanks, reservoirs and containers of metal";
"'25220'";5;"Manufacture of other tanks, reservoirs and containers of metal";
"'253'";3;"Manufacture of weapons and ammunition";
"'2530'";4;"Manufacture of weapons and ammunition";
"'25300'";5;"Manufacture of weapons and ammunition";
"'254'";3;"Forging and shaping metal and powder metallurgy";
"'2540'";4;"Forging and shaping metal and powder metallurgy";
"'25400'";5;"Forging and shaping metal and powder metallurgy";
"'255'";3;"Treatment and coating of metals; machining";
"'2551'";4;"Coating of metals";
"'25510'";5;"Coating of metals";
"'2552'";4;"Heat treatment of metals";
"'25520'";5;"Heat treatment of metals";
"'2553'";4;"Machining of metals";
"'25530'";5;"Machining of metals";
"'256'";3;"Manufacture of cutlery, tools and general hardware";
"'2561'";4;"Manufacture of cutlery";
